id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,Unit Effort,NPV,Time
159,RS,50,10,2,10,20,2,249,0,92,7,2,1,"1,530612245",2,1,"1,530612245","0,1","13,46153846",141,47,249,"554,668968",0
160,SAA,50,10,2,10,20,2,455,0,93,9,2,1,"1,530612245",2,1,"1,530612245","0,1","11,53846154",141,47,455,"546,9118097",0
161,HS,50,10,2,10,20,2,191,0,93,9,2,1,"1,530612245",2,1,"1,530612245","0,1","11,53846154",141,47,191,"546,9118097",0
162,RS,50,10,2,10,20,2,265,0,93,9,2,1,"1,530612245",2,1,"1,530612245","0,1","11,53846154",141,47,265,"546,9118097",0
163,SAA,50,10,2,10,20,2,481,0,96,8,2,1,"1,551020408",2,1,"1,571428571","0,1","21,15384615",144,48,481,"539,7098869",0
164,HS,50,10,2,10,20,2,254,0,96,8,2,1,"1,551020408",2,1,"1,571428571","0,1","21,15384615",144,48,254,"539,7098869",0
165,RS,50,10,2,10,20,2,410,"0,01562261581",96,8,2,1,"1,551020408",2,1,"1,571428571","0,1","21,15384615",144,48,410,"539,7098869","0,01562261581"
166,SAA,50,10,2,10,20,2,502,0,92,9,2,1,"1,489795918",2,1,"1,489795918","0,1","21,15384615",201,67,502,"452,5863035",0
167,HS,50,10,2,10,20,2,226,0,92,9,2,1,"1,489795918",2,1,"1,489795918","0,1","21,15384615",201,67,226,"452,5863035",0
168,RS,50,10,2,10,20,2,363,0,92,9,2,1,"1,489795918",2,1,"1,489795918","0,1","21,15384615",201,67,363,"452,5863035",0
169,SAA,50,10,2,10,20,2,943,"0,01561951637",92,9,2,1,"1,489795918",2,1,"1,551020408","0,1","21,15384615",147,49,943,"300,977065","0,01561951637"
170,HS,50,10,2,10,20,2,443,0,92,9,2,1,"1,489795918",2,1,"1,551020408","0,1","21,15384615",147,49,443,"300,977065",0
