;batch;instance;algo;par_Vertices;par_Layer;par_Fan;par_DicountedRate;par_PercNeg;par_CP;vertices;edges;diameter;max in degree;min in degree;mean in degree;max out degree;min out degree;mean out degree;discounted Rate;negative activities;deadline;last task Early Finish;effort;NPV;time
67;['50', '10', '2', '10', '100'];dg2.tpf;HS;50;10;2;10;100;1;52;94;8;2;1;1.5714285714285714;2;1;1.5918367346938775;0.1;96.15384615384616;94;47;2165;-0.9208455530060179;0.017377614974975586
68;['50', '10', '2', '10', '100'];dg2.tpf;RS;50;10;2;10;100;1;52;94;8;2;1;1.5714285714285714;2;1;1.5918367346938775;0.1;96.15384615384616;94;47;10523;-0.9208455530060179;0.10959625244140625
69;['50', '10', '2', '10', '100'];dg3.tpf;SAA;50;10;2;10;100;1;52;94;9;2;1;1.6122448979591837;2;1;1.5918367346938775;0.1;96.15384615384616;122;61;2267;-0.2142857479415908;0.008491039276123047
70;['50', '10', '2', '10', '100'];dg3.tpf;HS;50;10;2;10;100;1;52;94;9;2;1;1.6122448979591837;2;1;1.5918367346938775;0.1;96.15384615384616;122;61;2147;-0.2142857479415908;0.009071588516235352
71;['50', '10', '2', '10', '100'];dg3.tpf;RS;50;10;2;10;100;1;52;94;9;2;1;1.6122448979591837;2;1;1.5918367346938775;0.1;96.15384615384616;122;61;12100;-0.2142857479415908;0.180769681930542
72;['50', '10', '2', '10', '100'];dg4.tpf;SAA;50;10;2;10;100;1;52;95;8;2;1;1.653061224489796;2;1;1.653061224489796;0.1;96.15384615384616;96;48;2327;-1.4659567343302131;0.020375728607177734
73;['50', '10', '2', '10', '100'];dg4.tpf;HS;50;10;2;10;100;1;52;95;8;2;1;1.653061224489796;2;1;1.653061224489796;0.1;96.15384615384616;96;48;2206;-1.4659567343302131;0.01604771614074707
74;['50', '10', '2', '10', '100'];dg4.tpf;RS;50;10;2;10;100;1;52;95;8;2;1;1.653061224489796;2;1;1.653061224489796;0.1;96.15384615384616;96;48;17286;-1.4659567343302131;0.13917160034179688
75;['50', '10', '2', '10', '100'];dg5.tpf;SAA;50;10;2;10;100;1;52;94;8;2;1;1.530612244897959;2;1;1.510204081632653;0.1;96.15384615384616;84;42;2187;-1.8816973202847302;0.008049249649047852
76;['50', '10', '2', '10', '100'];dg5.tpf;HS;50;10;2;10;100;1;52;94;8;2;1;1.530612244897959;2;1;1.510204081632653;0.1;96.15384615384616;84;42;2071;-1.8816973202847302;0.014818668365478516
77;['50', '10', '2', '10', '100'];dg5.tpf;RS;50;10;2;10;100;1;52;94;8;2;1;1.530612244897959;2;1;1.510204081632653;0.1;96.15384615384616;84;41;6040;-1.8816973202847302;0.08339667320251465
78;['50', '10', '2', '10', '100'];dg6.tpf;SAA;50;10;2;10;100;1;52;91;8;2;1;1.530612244897959;2;1;1.5510204081632653;0.1;96.15384615384616;92;46;2196;-1.1630910643852246;0.022695302963256836
79;['50', '10', '2', '10', '100'];dg6.tpf;HS;50;10;2;10;100;1;52;91;8;2;1;1.530612244897959;2;1;1.5510204081632653;0.1;96.15384615384616;92;46;2080;-1.1630910643852246;0.025460481643676758
80;['50', '10', '2', '10', '100'];dg6.tpf;RS;50;10;2;10;100;1;52;91;8;2;1;1.530612244897959;2;1;1.5510204081632653;0.1;96.15384615384616;92;42;14263;-1.1630910643852246;0.1752026081085205
81;['50', '10', '2', '10', '100'];dg7.tpf;SAA;50;10;2;10;100;1;52;93;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;96.15384615384616;72;36;2124;-5.719164439950721;0.017156600952148438
82;['50', '10', '2', '10', '100'];dg7.tpf;HS;50;10;2;10;100;1;52;93;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;96.15384615384616;72;36;2023;-5.719164439950721;0.017169475555419922
83;['50', '10', '2', '10', '100'];dg7.tpf;RS;50;10;2;10;100;1;52;93;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;96.15384615384616;72;36;5779;-5.719164439950721;0.09956789016723633
84;['50', '10', '2', '10', '100'];dg8.tpf;SAA;50;10;2;10;100;1;52;93;8;2;1;1.5918367346938775;2;1;1.510204081632653;0.1;96.15384615384616;96;48;2154;-1.0698319738963664;0.02567768096923828
85;['50', '10', '2', '10', '100'];dg8.tpf;HS;50;10;2;10;100;1;52;93;8;2;1;1.5918367346938775;2;1;1.510204081632653;0.1;96.15384615384616;96;48;2041;-1.0698319738963664;0.02993011474609375
86;['50', '10', '2', '10', '100'];dg8.tpf;RS;50;10;2;10;100;1;52;93;8;2;1;1.5918367346938775;2;1;1.510204081632653;0.1;96.15384615384616;96;48;21143;-1.0698319738963664;0.18372464179992676
87;['50', '10', '2', '10', '100'];dg9.tpf;SAA;50;10;2;10;100;1;52;89;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;96.15384615384616;90;45;2189;-1.7599895337282048;0.00800943374633789
88;['50', '10', '2', '10', '100'];dg9.tpf;HS;50;10;2;10;100;1;52;89;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;96.15384615384616;90;45;2075;-1.7599895337282048;0.01989269256591797
89;['50', '10', '2', '10', '100'];dg9.tpf;RS;50;10;2;10;100;1;52;89;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;96.15384615384616;90;45;15342;-1.7599895337282048;0.25931882858276367
90;['50', '10', '2', '10', '100'];dg1.tpf;SAA;50;10;2;10;100;2;52;92;7;2;1;1.530612244897959;2;1;1.489795918367347;0.1;96.15384615384616;168;56;2042;-0.0015141642579460234;0.029021024703979492
91;['50', '10', '2', '10', '100'];dg1.tpf;HS;50;10;2;10;100;2;52;92;7;2;1;1.530612244897959;2;1;1.489795918367347;0.1;96.15384615384616;168;56;1937;-0.0015141642579460234;0.015523672103881836
92;['50', '10', '2', '10', '100'];dg1.tpf;RS;50;10;2;10;100;2;52;92;7;2;1;1.530612244897959;2;1;1.489795918367347;0.1;96.15384615384616;168;55;8276;-0.0015141642579460234;0.052789926528930664
93;['50', '10', '2', '10', '100'];dg10.tpf;SAA;50;10;2;10;100;2;52;94;7;2;1;1.5714285714285714;2;1;1.5714285714285714;0.1;96.15384615384616;153;51;2265;-0.0053551055344891445;0.012938499450683594
94;['50', '10', '2', '10', '100'];dg10.tpf;HS;50;10;2;10;100;2;52;94;7;2;1;1.5714285714285714;2;1;1.5714285714285714;0.1;96.15384615384616;153;51;2158;-0.0053551055344891445;0.008089303970336914
95;['50', '10', '2', '10', '100'];dg10.tpf;RS;50;10;2;10;100;2;52;94;7;2;1;1.5714285714285714;2;1;1.5714285714285714;0.1;96.15384615384616;153;51;8302;-0.0053551055344891445;0.05418586730957031
