id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time
366,RS,50,10,2,20,0,1,52,"0,00000000000"
367,SAA,50,10,2,20,0,1,116,"0,00000000000"
368,HS,50,10,2,20,0,1,52,"0,00000000000"
369,RS,50,10,2,20,0,1,52,"0,00000000000"
370,SAA,50,10,2,20,0,1,120,"0,00000000000"
371,HS,50,10,2,20,0,1,52,"0,00099658966"
372,RS,50,10,2,20,0,1,52,"0,00000000000"
373,SAA,50,10,2,20,0,1,112,"0,00000000000"
374,HS,50,10,2,20,0,1,52,"0,00000000000"
375,RS,50,10,2,20,0,1,52,"0,00000000000"
376,SAA,50,10,2,20,0,1,124,"0,00000000000"
377,HS,50,10,2,20,0,1,52,"0,00000000000"
378,RS,50,10,2,20,0,1,52,"0,00000000000"
379,SAA,50,10,2,20,0,1,111,"0,00099658966"
380,HS,50,10,2,20,0,1,52,"0,00000000000"
381,RS,50,10,2,20,0,1,52,"0,00000000000"
382,SAA,50,10,2,20,0,1,115,"0,00000000000"
383,HS,50,10,2,20,0,1,52,"0,00000000000"
384,RS,50,10,2,20,0,1,52,"0,00000000000"
385,SAA,50,10,2,20,0,1,100,"0,00000000000"
386,HS,50,10,2,20,0,1,52,"0,00000000000"
387,RS,50,10,2,20,0,1,52,"0,00000000000"
388,SAA,50,10,2,20,0,1,106,"0,01562547684"
389,HS,50,10,2,20,0,1,52,"0,00000000000"
390,RS,50,10,2,20,0,1,52,"0,01233100891"
391,SAA,50,10,2,20,0,2,123,"0,00099682808"
392,HS,50,10,2,20,0,2,52,"0,00000000000"
393,RS,50,10,2,20,0,2,52,"0,00000000000"
394,SAA,50,10,2,20,0,2,114,"0,00099682808"
395,HS,50,10,2,20,0,2,52,"0,00099396706"
396,RS,50,10,2,20,0,2,52,"0,00099754333"
397,SAA,50,10,2,20,0,2,112,"0,00199532509"
398,HS,50,10,2,20,0,2,52,"0,00199365616"
399,RS,50,10,2,20,0,2,52,"0,00000000000"
400,SAA,50,10,2,20,0,2,117,"0,00099706650"
401,HS,50,10,2,20,0,2,52,"0,00099825859"
402,RS,50,10,2,20,0,2,52,"0,00000000000"
403,SAA,50,10,2,20,0,2,102,"0,00299072266"
404,HS,50,10,2,20,0,2,52,"0,00000000000"
405,RS,50,10,2,20,0,2,52,"0,00099825859"
406,SAA,50,10,2,20,0,2,95,"0,00299334526"
407,HS,50,10,2,20,0,2,52,"0,00000000000"
408,RS,50,10,2,20,0,2,52,"0,00000000000"
409,SAA,50,10,2,20,0,2,115,"0,00199627876"
410,HS,50,10,2,20,0,2,52,"0,00099778175"
411,RS,50,10,2,20,0,2,52,"0,00000000000"
412,SAA,50,10,2,20,0,2,114,"0,00199604034"
413,HS,50,10,2,20,0,2,52,"0,00000000000"
414,RS,50,10,2,20,0,2,52,"0,00099420547"
415,SAA,50,10,2,20,0,2,122,"0,00099492073"
416,HS,50,10,2,20,0,2,52,"0,00199365616"
417,RS,50,10,2,20,0,2,52,"0,00000000000"
418,SAA,50,10,2,20,0,2,114,"0,00199508667"
419,HS,50,10,2,20,0,2,52,"0,00099825859"
420,RS,50,10,2,20,0,2,52,"0,00000000000"
421,SAA,50,10,2,20,100,1,2169,"0,01396131516"
422,HS,50,10,2,20,100,1,2055,"0,00498604774"
423,RS,50,10,2,20,100,1,9621,"0,04449009895"
424,SAA,50,10,2,20,100,1,2181,"0,00000000000"
425,HS,50,10,2,20,100,1,2080,"0,01562213898"
426,RS,50,10,2,20,100,1,7114,"0,06611394882"
427,SAA,50,10,2,20,100,1,2257,"0,01561021805"
428,HS,50,10,2,20,100,1,2143,"0,00897860527"
429,RS,50,10,2,20,100,1,12147,"0,10340785980"
430,SAA,50,10,2,20,100,1,2127,"0,01562118530"
431,HS,50,10,2,20,100,1,2017,"0,01563024521"
432,RS,50,10,2,20,100,1,6798,"0,03583621979"
433,SAA,50,10,2,20,100,1,2254,"0,00000000000"
434,HS,50,10,2,20,100,1,2146,"0,01562237740"
435,RS,50,10,2,20,100,1,12379,"0,08686661720"
436,SAA,50,10,2,20,100,1,2288,"0,01962757111"
437,HS,50,10,2,20,100,1,2165,"0,01562094688"
438,RS,50,10,2,20,100,1,9985,"0,06880879402"
439,SAA,50,10,2,20,100,1,2149,"0,00000000000"
440,HS,50,10,2,20,100,1,2055,"0,01562285423"
441,RS,50,10,2,20,100,1,8126,"0,04584431648"
442,SAA,50,10,2,20,100,1,2271,"0,01562356949"
443,HS,50,10,2,20,100,1,2165,"0,00650906563"
444,RS,50,10,2,20,100,1,8326,"0,04686355591"
445,SAA,50,10,2,20,100,1,2178,"0,00000000000"
446,HS,50,10,2,20,100,1,2072,"0,00000000000"
447,RS,50,10,2,20,100,1,7368,"0,05337095261"
448,SAA,50,10,2,20,100,1,2200,"0,00000000000"
449,HS,50,10,2,20,100,1,2098,"0,01562166214"
450,RS,50,10,2,20,100,1,6968,"0,06248426437"
451,SAA,50,10,2,20,100,2,2163,"0,01562976837"
452,HS,50,10,2,20,100,2,2053,"0,01562714577"
453,RS,50,10,2,20,100,2,9970,"0,06899929047"
454,SAA,50,10,2,20,100,2,2174,"0,02424192429"
455,HS,50,10,2,20,100,2,2058,"0,01562166214"
456,RS,50,10,2,20,100,2,6812,"0,05187201500"
457,SAA,50,10,2,20,100,2,2323,"0,01562094688"
458,HS,50,10,2,20,100,2,2205,"0,00000000000"
459,RS,50,10,2,20,100,2,10941,"0,06900405884"
460,SAA,50,10,2,20,100,2,2242,"0,01562523842"
461,HS,50,10,2,20,100,2,2136,"0,01561689377"
462,RS,50,10,2,20,100,2,8127,"0,06899571419"
463,SAA,50,10,2,20,100,2,2059,"0,01562356949"
464,HS,50,10,2,20,100,2,1955,"0,01562666893"
465,RS,50,10,2,20,100,2,11297,"0,06249189377"
466,SAA,50,10,2,20,100,2,2267,"0,00650978088"
467,HS,50,10,2,20,100,2,2136,"0,00000000000"
468,RS,50,10,2,20,100,2,12154,"0,08461999893"
469,SAA,50,10,2,20,100,2,2235,"0,01562190056"
470,HS,50,10,2,20,100,2,2101,"0,00650978088"
471,RS,50,10,2,20,100,2,20179,"0,15361094480"
472,SAA,50,10,2,20,100,2,2090,"0,00908255577"
473,HS,50,10,2,20,100,2,1985,"0,01561784744"
474,RS,50,10,2,20,100,2,6897,"0,03775644302"
475,SAA,50,10,2,20,100,2,2183,"0,01562428474"
476,HS,50,10,2,20,100,2,2077,"0,00000000000"
477,RS,50,10,2,20,100,2,5423,"0,04686379433"
478,SAA,50,10,2,20,100,2,2232,"0,01562380791"
479,HS,50,10,2,20,100,2,2114,"0,00000000000"
